cfips,pct_broadband,pct_college,pct_in_it_industry,median_hh_inc
1001,78.9,15.9,1.1,58786.0
1003,78.1,20.7,1.3,55962.0
1005,60.4,7.8,0.3,34186.0
1007,66.1,7.6,1.4,45340.0
1009,68.5,8.1,1.4,48695.0
1011,58.9,7.4,0.3,32152.0
1013,62.1,9.7,1.4,39109.0
1015,73.0,10.2,1.4,45197.0
1017,66.5,9.3,2.1,39872.0
1019,68.6,6.8,1.3,41014.0
1021,61.8,9.2,0.5,45182.0
1023,58.3,8.2,1.5,34884.0
1025,53.2,8.0,0.9,36127.0
1027,68.2,5.5,1.3,41225.0
1029,60.4,8.9,0.4,40188.0
1031,77.6,15.6,1.2,53155.0
1033,68.2,11.8,1.3,47558.0
1035,47.2,7.1,3.3,33177.0
1037,64.3,8.6,1.6,38301.0
1039,68.6,9.6,0.8,40601.0
1041,59.6,11.4,2.8,39812.0
1043,69.9,8.8,1.0,42558.0
1045,72.9,11.2,0.5,45960.0
1047,63.4,8.6,0.5,31602.0
1049,67.0,7.4,1.0,39233.0
1051,79.6,16.0,1.5,59347.0
1053,57.3,8.0,1.0,35000.0
1055,73.4,10.9,2.4,44023.0
1057,68.9,9.1,2.3,37458.0
1059,59.7,7.8,3.1,40459.0
1061,66.9,7.0,0.4,38142.0
1063,46.2,6.4,1.1,21804.0
1065,54.9,9.3,0.0,30571.0
1067,72.2,10.7,1.7,48610.0
1069,70.4,13.3,1.6,45496.0
1071,67.1,9.3,0.5,39816.0
1073,76.4,19.8,2.6,51979.0
1075,63.0,8.3,1.2,36756.0
1077,68.7,14.8,1.6,46265.0
1079,59.2,7.7,1.4,44515.0
1081,80.3,19.6,1.3,48056.0
1083,76.6,16.9,1.5,56460.0
1085,49.4,9.3,0.3,30833.0
1087,55.8,11.2,0.5,32074.0
1089,83.9,25.7,2.5,63417.0
1091,53.1,8.9,1.1,32809.0
1093,64.6,8.0,0.0,35392.0
1095,74.5,12.4,1.8,42490.0
1097,72.2,15.1,1.6,46166.0
1099,41.6,8.7,1.3,30141.0
1101,77.4,18.9,1.1,47990.0
1103,72.8,15.1,1.1,49751.0
1105,46.2,8.2,1.2,23561.0
1107,62.8,9.3,0.8,37458.0
1109,59.2,14.8,1.2,34678.0
1111,68.9,9.1,2.4,41449.0
1113,66.2,10.0,1.9,40978.0
1115,75.2,11.2,1.9,54887.0
1117,86.4,27.9,2.8,75761.0
1119,57.9,11.6,0.7,23132.0
1121,69.8,8.9,1.0,41012.0
1123,70.0,12.0,0.6,43361.0
1125,78.0,18.4,1.8,52221.0
1127,68.0,7.2,0.9,41748.0
1129,58.3,6.7,0.5,40794.0
1131,49.2,8.9,2.3,27237.0
1133,62.2,8.3,0.6,38504.0
2013,67.3,8.9,0.0,69706.0
2016,75.7,13.1,0.8,85517.0
2020,88.7,21.9,3.0,83280.0
2050,72.3,7.7,1.8,54212.0
2060,81.4,18.0,5.0,84688.0
2068,88.6,28.8,0.5,84196.0
2070,76.3,10.2,0.8,58750.0
2090,84.8,20.5,2.5,77095.0
2100,87.4,23.5,2.1,64342.0
2105,70.3,17.5,0.6,63603.0
2110,88.8,25.5,3.1,88213.0
2122,77.1,14.5,2.0,66684.0
2130,83.6,17.0,2.6,70356.0
2150,82.5,16.0,0.6,78281.0
2158,62.5,3.3,1.9,35539.0
2164,61.2,8.1,0.3,46406.0
2170,86.2,13.7,3.1,75905.0
2180,72.0,8.3,0.2,58987.0
2185,67.7,11.4,0.3,75431.0
2188,70.1,7.5,1.4,62949.0
2195,78.1,22.0,1.5,66907.0
2198,66.8,11.5,0.7,54191.0
2220,83.0,20.4,1.3,71534.0
2230,85.5,27.4,0.4,72237.0
2240,71.8,10.0,2.4,71541.0
2261,79.1,19.0,3.9,82306.0
2275,71.7,14.0,3.0,57583.0
2282,69.8,16.9,0.5,65833.0
2290,43.7,7.6,1.1,40000.0
4001,38.0,7.7,1.1,32963.0
4003,78.2,14.3,1.2,48649.0
4005,77.4,21.1,0.9,57616.0
4007,61.5,11.8,1.1,42092.0
4009,71.9,9.7,1.1,51352.0
4011,76.1,9.2,0.1,60962.0
4012,60.6,8.3,0.8,33333.0
4013,84.1,20.3,2.2,61606.0
4015,78.2,8.4,1.5,43266.0
4017,60.7,9.3,1.6,40054.0
4019,83.1,18.4,1.6,51037.0
4021,80.5,12.1,1.4,55550.0
4023,69.2,13.7,1.0,40467.0
4025,80.1,15.0,1.4,50180.0
4027,76.3,9.7,1.1,44058.0
5001,62.8,10.7,1.1,39466.0
5003,60.5,9.2,0.3,39635.0
5005,70.8,11.6,2.5,41481.0
5007,64.8,21.6,0.9,64141.0
5009,77.7,10.5,1.8,43262.0
5011,62.8,10.9,2.1,39510.0
5013,59.2,8.3,1.8,44022.0
5015,65.7,13.0,2.0,43505.0
5017,60.7,10.6,0.2,33051.0
5019,67.2,17.7,1.2,39752.0
5021,63.6,7.0,0.4,33935.0
5023,71.1,8.6,0.7,43391.0
5025,55.4,10.7,0.0,42460.0
5027,59.6,13.0,0.7,36148.0
5029,60.6,11.3,2.3,41196.0
5031,78.9,16.1,2.0,45868.0
5033,70.3,10.5,1.6,46619.0
5035,71.5,12.2,2.3,39002.0
5037,66.1,8.4,0.4,43838.0
5039,57.9,10.8,0.4,36628.0
5041,49.1,8.1,0.8,30234.0
5043,67.0,13.0,0.2,43014.0
5045,76.5,18.7,2.9,51930.0
5047,60.7,9.0,0.5,39463.0
5049,58.3,8.6,0.3,36184.0
5051,76.0,12.8,1.8,43146.0
5053,72.9,11.6,1.7,51920.0
5055,74.9,11.2,0.6,47497.0
5057,67.2,9.5,0.4,41355.0
5059,64.5,9.8,0.5,41262.0
5061,63.5,11.2,2.6,35900.0
5063,61.6,12.1,1.3,43523.0
5065,57.2,9.9,1.7,40218.0
5067,62.3,6.2,0.9,33174.0
5069,56.3,11.3,1.0,38289.0
5071,65.0,10.3,1.2,37170.0
5073,55.5,13.0,0.7,32412.0
5075,63.7,10.4,0.6,38528.0
5077,52.2,6.7,0.2,28367.0
5079,57.9,6.3,0.0,45166.0
5081,62.6,7.3,0.2,45388.0
5083,69.2,8.3,1.9,39748.0
5085,77.5,14.2,2.2,57509.0
5087,61.1,6.9,2.8,43891.0
5089,74.0,10.8,1.3,35518.0
5091,72.3,11.0,1.5,41903.0
5093,66.3,7.9,3.7,37237.0
5095,55.4,7.6,0.0,35190.0
5097,58.4,5.8,0.4,37855.0
5099,52.9,10.5,0.0,37635.0
5101,58.9,10.2,2.0,39896.0
5103,60.0,10.0,1.8,34887.0
5105,66.2,8.4,2.5,46071.0
5107,61.3,8.5,0.3,29263.0
5109,61.6,8.4,0.7,37406.0
5111,70.1,7.3,1.2,39277.0
5113,62.8,8.0,0.4,37035.0
5115,71.3,14.6,0.9,41914.0
5117,54.4,10.8,0.8,41846.0
5119,75.4,20.9,3.4,50093.0
5121,64.1,9.2,0.5,36870.0
5123,51.9,6.1,1.7,35356.0
5125,80.8,16.8,2.8,62152.0
5127,55.5,4.8,0.2,35509.0
5129,58.5,8.6,0.0,36390.0
5131,72.8,13.3,1.5,43240.0
5133,70.8,7.4,0.2,46667.0
5135,57.7,7.3,1.2,33708.0
5137,47.0,8.5,2.2,36162.0
5139,60.1,15.0,1.1,44000.0
5141,60.4,8.1,0.1,36897.0
5143,76.9,19.7,1.5,49629.0
5145,73.3,12.9,1.4,43822.0
5147,54.6,8.7,0.0,31023.0
5149,66.7,9.9,0.7,42361.0
6001,87.5,26.4,4.0,92574.0
6003,84.9,19.0,0.0,64688.0
6005,81.4,13.2,2.4,61198.0
6007,83.2,17.5,1.8,48443.0
6009,77.9,12.7,2.6,58151.0
6011,77.3,11.5,0.1,56704.0
6013,90.2,26.1,3.2,93712.0
6015,76.8,8.3,0.9,45258.0
6017,85.7,21.7,2.4,80582.0
6019,77.9,13.8,1.5,51261.0
6021,69.8,10.9,0.7,47395.0
6023,81.1,19.6,1.6,45528.0
6025,73.9,9.9,0.9,45834.0
6027,77.9,16.1,1.6,52874.0
6029,76.8,10.7,1.1,52479.0
6031,77.2,9.5,1.1,53865.0
6033,72.6,10.3,1.8,42475.0
6035,76.1,8.0,1.0,56362.0
6037,82.1,20.7,4.7,64251.0
6039,76.8,10.0,1.7,52884.0
6041,90.5,33.2,4.8,110217.0
6043,76.1,14.6,1.6,51199.0
6045,77.6,16.3,1.6,49233.0
6047,79.7,9.1,1.1,50129.0
6049,69.4,10.4,0.2,45149.0
6051,83.3,23.3,0.1,63018.0
6053,80.8,14.7,1.3,66676.0
6055,87.6,23.0,1.3,84753.0
6057,84.4,23.6,1.5,63240.0
6059,89.3,25.7,2.3,85398.0
6061,88.4,25.9,2.8,84357.0
6063,75.9,13.3,0.5,53270.0
6065,84.7,13.9,1.6,63948.0
6067,85.6,20.1,2.1,63902.0
6069,88.8,13.6,1.6,81977.0
6071,81.7,13.2,1.4,60164.0
6073,88.8,23.5,2.5,74855.0
6075,86.0,34.3,6.9,104552.0
6077,79.9,12.6,1.6,61145.0
6079,86.2,21.4,1.7,70699.0
6081,89.7,28.8,5.3,113776.0
6083,85.3,20.0,2.0,71657.0
6085,90.7,27.3,6.1,116178.0
6087,86.4,23.7,2.9,78041.0
6089,78.8,14.6,2.0,50905.0
6091,73.2,8.9,0.0,48125.0
6093,77.8,14.9,1.9,44200.0
6095,88.7,18.3,2.0,77609.0
6097,87.1,22.0,2.1,76753.0
6099,82.8,11.5,1.3,57387.0
6101,82.0,11.8,0.9,56955.0
